ID,block,trial,whichFilled,choice,responseTime,pointsWon,blockWinnings,tagText
11485791,2,6,none,right,209,73,308,good
11485791,2,7,none,right,317,67,375,good
11485791,2,8,none,right,94,77,452,good
11485791,2,9,none,bottom,268,69,521,good
11485791,2,10,none,right,576,63,584,good
11485791,2,11,none,right,582,60,644,good
11485791,2,12,none,top,540,17,661,good
11485791,2,13,none,right,535,25,686,good
11485791,2,14,none,bottom,308,50,736,good
11485791,2,15,none,left,246,22,758,good
11485791,2,16,none,right,77,50,808,good
11485791,2,17,bottom,bottom,366,70,878,good
11485791,2,18,bottom,bottom,606,71,949,good
11485791,2,19,bottom,bottom,519,49,998,good
11485791,2,20,bottom,bottom,1025,55,1053,good
11485791,2,21,bottom,bottom,573,48,1101,good
11485791,2,22,bottom,bottom,2862,49,1150,good
11485791,2,23,bottom,bottom,648,55,1205,good
11485791,2,24,bottom,bottom,1919,51,1256,good
11485791,2,25,bottom,bottom,149,50,1306,good
11485791,2,26,bottom,bottom,1511,49,1355,good
11485791,2,27,bottom,bottom,73,64,1419,good
11485791,2,28,bottom,bottom,606,45,1464,good
11485791,2,29,bottom,bottom,2026,52,1516,good
11485791,2,30,bottom,bottom,3081,54,1570,good
11485791,3,1,none,bottom,0,36,36,good
11485791,3,2,none,top,251,70,106,good
11485791,3,3,none,top,350,67,173,good
11485791,3,4,none,top,936,56,229,good
11485791,3,5,none,top,2037,36,265,good
11485791,3,6,none,top,274,24,289,good
11485791,3,7,none,right,77,74,363,good
11485791,3,8,none,left,339,87,450,good
11485791,3,9,none,left,584,89,539,good
11485791,3,10,none,left,244,70,609,good
11485791,3,11,none,left,290,74,683,good
11485791,3,12,none,left,336,76,759,good
11485791,3,13,none,left,2535,78,837,good
11485791,3,14,none,left,541,65,902,good
11485791,3,15,none,left,2364,64,966,good
11485791,3,16,none,left,1160,63,1029,good
11485791,3,17,right,left,198,69,1098,good
11485791,3,18,right,right,184,38,1136,good
11485791,3,19,right,left,139,55,1191,good
11485791,3,20,right,left,342,59,1250,good
11485791,3,21,right,left,2157,48,1298,good
11485791,3,22,right,left,1794,55,1353,good
11485791,3,23,right,bottom,241,32,1385,good
11485791,3,24,right,top,5,43,1428,good
11485791,3,25,right,top,597,63,1491,good
11485791,3,26,right,right,435,49,1540,good
11485791,3,27,right,right,192,61,1601,good
11485791,3,28,right,right,288,71,1672,good
11485791,3,29,right,right,3134,62,1734,good
11485791,3,30,right,right,581,40,1774,good
12137696,1,1,none,right,4493,99,99,???
12137696,1,2,none,bottom,398,23,122,???
12137696,1,3,none,left,268,85,207,???
12137696,1,4,none,top,336,71,278,???
12137696,1,5,none,left,381,96,374,???
12137696,1,6,none,right,20,92,466,???
12137696,1,7,none,left,405,87,553,???
12137696,1,8,none,right,290,98,651,???
12137696,1,9,bottom,bottom,110,11,662,???
12137696,1,10,bottom,top,89,25,687,???
12137696,1,11,bottom,right,1282,99,786,???
12137696,1,12,bottom,right,179,94,880,???
12137696,1,13,bottom,bottom,469,14,894,???
12137696,1,14,bottom,right,403,77,971,???
12137696,1,15,bottom,left,290,82,1053,???
12137696,1,16,bottom,right,268,96,1149,???
12137696,1,17,bottom,right,336,100,1249,???
12137696,1,18,bottom,right,313,99,1348,???
12137696,1,19,bottom,right,335,87,1435,???
12137696,1,20,bottom,right,269,96,1531,???
12137696,1,21,bottom,left,651,69,1600,???
12137696,1,22,bottom,left,15951,66,1666,???
12137696,1,23,bottom,right,494,82,1748,???
12137696,1,24,bottom,right,559,88,1836,???
12137696,1,25,bottom,right,134,100,1936,???
12137696,1,26,bottom,right,426,88,2024,???
12137696,1,27,bottom,left,874,89,2113,???
12137696,1,28,bottom,right,314,86,2199,???
12137696,1,29,bottom,right,336,96,2295,???
12137696,1,30,bottom,right,672,87,2382,???
12137696,2,1,none,left,0,17,17,???
12137696,2,2,none,bottom,155,9,26,???
12137696,2,3,none,top,292,95,121,???
12137696,2,4,none,right,269,92,213,???
12137696,2,5,none,top,313,97,310,???
12137696,2,6,none,right,178,95,405,???
12137696,2,7,none,right,559,76,481,???
12137696,2,8,none,top,652,85,566,???
12137696,2,9,none,right,583,84,650,???
12137696,2,10,none,top,653,77,727,???
12137696,2,11,none,right,651,74,801,???
12137696,2,12,none,right,359,76,877,???
12137696,2,13,none,top,113,98,975,???
12137696,2,14,none,right,470,73,1048,???
12137696,2,15,none,top,563,77,1125,???
12137696,2,16,none,top,1617,86,1211,???
12137696,2,17,none,top,2270,83,1294,???
12137696,2,18,none,right,472,61,1355,???
12137696,2,19,none,top,919,86,1441,???
12137696,2,20,none,right,20,64,1505,???
12137696,2,21,none,top,1755,73,1578,???
12137696,2,22,none,right,110,47,1625,???
12137696,2,23,top,top,560,65,1690,???
12137696,2,24,top,top,5825,47,1737,???
12137696,2,25,top,right,1909,35,1772,???
12137696,2,26,top,top,404,44,1816,???
12137696,2,27,top,right,1347,46,1862,???
12137696,2,28,top,top,223,37,1899,???
12137696,2,29,top,right,289,43,1942,???
12137696,2,30,top,top,267,19,1961,???
12137696,3,1,none,left,0,14,14,???
12137696,3,2,none,bottom,247,38,52,???
12137696,3,3,none,top,337,96,148,???
12137696,3,4,none,top,381,94,242,???
12137696,3,5,none,top,267,84,326,???
12137696,3,6,none,right,409,35,361,???
12137696,3,7,none,top,149,74,435,???
12137696,3,8,none,top,335,81,516,???
12137696,3,9,none,top,492,96,612,???
12137696,3,10,none,top,561,93,705,???
12137696,3,11,none,top,357,95,800,???
12137696,3,12,none,top,155,93,893,???
12137696,3,13,none,top,406,93,986,???
12137696,3,14,none,top,223,92,1078,???
12137696,3,15,none,top,447,78,1156,???
12137696,3,16,none,top,516,84,1240,???
12137696,3,17,none,top,401,89,1329,???
12137696,3,18,none,top,429,89,1418,???
